run_number,world-size,patch_resolution,landscape_number,hab_amount,clumpiness,specie,perceptual_range,initial_individuals,mortality_habitat,mortality_matrix,min_dist_before_settle,origin_site,min_Ci,var_Ci,behaviours,discharge-rate,En_mean,En_sd,import_hab_quality_surface,hab_quality_folder,hab_quality_per_frag,ac_simple,autocorrelation,ac,
57,150,10,57,14,68,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
58,150,10,58,40,87,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
59,150,10,59,27,70,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
60,150,10,61,27,63,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
61,150,10,62,17,7,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
62,150,10,60,66,38,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
63,150,10,63,58,9,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
64,150,10,64,49,21,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
65,150,10,65,58,60,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
66,150,10,66,15,47,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
67,150,10,67,47,43,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
68,150,10,68,54,66,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
69,150,10,70,41,36,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
70,150,10,69,66,65,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
71,150,10,71,58,88,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
72,150,10,72,10,63,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
73,150,10,73,36,23,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
74,150,10,74,6,69,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
75,150,10,75,52,45,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
76,150,10,76,51,86,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
77,150,10,77,59,62,DA,200,1000,0.001,0.002,1000,false,0.5,0.4,[0 0.5 1 1.5 2],2.0E-4,0.2,0.1,false,hab_quality/256/,false,true,4,0,
