run_number,world-size,patch_resolution,landscape_number,hab_amount,clumpiness,specie,perceptual_range,initial_individuals,mortality_habitat,mortality_matrix,min_step_before_settle,dmean,dsd,origin_site,min_Ci,var_Ci,behaviours,discharge-rate,En_mean,En_sd,import_hab_quality_surface,hab_quality_folder,hab_quality_per_frag,ac_simple,autocorrelation,ac,
80,100,10,81,10,63,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
81,100,10,82,19,54,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
82,100,10,80,64,70,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
83,100,10,83,27,87,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
84,100,10,84,11,32,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
85,100,10,86,23,9,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
86,100,10,85,36,90,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
87,100,10,87,11,75,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
88,100,10,88,64,77,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
89,100,10,89,62,46,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
90,100,10,90,32,53,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
91,100,10,92,25,28,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
92,100,10,91,46,34,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
93,100,10,93,39,65,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
94,100,10,94,42,10,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
95,100,10,96,41,98,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
96,100,10,95,67,92,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
97,100,10,97,27,36,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
98,100,10,98,12,70,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
99,100,10,99,21,57,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
